filename: frame000230_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.45454809648358036	area_occluded_relative_to_gtbox: 0.45454809648358036	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000178_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.4313364055299539	area_occluded_relative_to_gtbox: 0.4313364055299539	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000251_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4278193782618561	area_occluded_relative_to_gtbox: 0.4278193782618561	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: small3	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.03363224077509792	high_attention_area_occluded_slc: 0.16908884766027624	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.031704803133374565	high_attention_area_occluded_slc: 0.19373325087610802	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: small2 small3	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.06533704390847248	high_attention_area_occluded_slc: 0.21089466089466088	quadrants: ['1', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.04996907854050711	high_attention_area_occluded_slc: 0.26323438466295607	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: small1 small3	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.08360131931560502	high_attention_area_occluded_slc: 0.20712224283652855	quadrants: ['2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: small1 small2	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.08167388167388168	high_attention_area_occluded_slc: 0.2139558853844568	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: small1 small2 small3	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.11530612244897959	high_attention_area_occluded_slc: 0.16049268192125335	quadrants: ['3', '4']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.09882498453927026	high_attention_area_occluded_slc: 0.1748917748917749	quadrants: ['1', '2', '3']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: big0 small3	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.13245722531436818	high_attention_area_occluded_slc: 0.14442383013811586	quadrants: ['1', '2', '3']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: big0 small2	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.13052978767264484	high_attention_area_occluded_slc: 0.013894042465471037	quadrants: ['1', '2', '3']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: False	combination: big0 small2 small3	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.16416202844774275	high_attention_area_occluded_slc: 0	quadrants: ['1', '3']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: big0 small1	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.14879406307977738	high_attention_area_occluded_slc: 0.18772418058132345	quadrants: ['1', '2']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: False	combination: big0 small1 small3	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.1824263038548753	high_attention_area_occluded_slc: 0	quadrants: ['2']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: True	combination: big0 small1 small2	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.18049886621315195	high_attention_area_occluded_slc: 0.010327767470624614	quadrants: ['1', '2']
filename: frame000348_rgb.pngbbox0	sequence: big0 small1 small2 small3	success: False	combination: big0 small1 small2 small3	high_attention_area_without_occlussion_slc: 0.21413110698824986	area_occluded_relative_to_gtbox: 0.21413110698824986	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000253_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.35880557580174927	area_occluded_relative_to_gtbox: 0.17895863702623907	high_attention_area_occluded_slc: 0.20018677113702624	quadrants: ['1', '2', '3', '4']
filename: frame000253_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.35880557580174927	area_occluded_relative_to_gtbox: 0.1798469387755102	high_attention_area_occluded_slc: 0	quadrants: ['1', '2', '3', '4']
filename: frame000253_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.35880557580174927	area_occluded_relative_to_gtbox: 0.35880557580174927	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000341_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.26160148885773676	area_occluded_relative_to_gtbox: 0.10737419635519892	high_attention_area_occluded_slc: 0.24335331367525498	quadrants: ['1', '2', '3', '4']
filename: frame000341_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.26160148885773676	area_occluded_relative_to_gtbox: 0.15422729250253783	high_attention_area_occluded_slc: 0.0350340793735196	quadrants: ['1', '2']
filename: frame000341_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.26160148885773676	area_occluded_relative_to_gtbox: 0.26160148885773676	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000338_rgb.pngbbox0	sequence: big0 big1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.2754984611267229	area_occluded_relative_to_gtbox: 0.02818145323163388	high_attention_area_occluded_slc: 0.2781613809714974	quadrants: ['1', '2', '3', '4']
filename: frame000338_rgb.pngbbox0	sequence: big0 big1 small2	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.2754984611267229	area_occluded_relative_to_gtbox: 0.07133681252509033	high_attention_area_occluded_slc: 0.30045497122976045	quadrants: ['1', '2', '3', '4']
filename: frame000338_rgb.pngbbox0	sequence: big0 big1 small2	success: True	combination: big1 small2	high_attention_area_without_occlussion_slc: 0.2754984611267229	area_occluded_relative_to_gtbox: 0.0995182657567242	high_attention_area_occluded_slc: 0.1981533520674428	quadrants: ['1', '2', '3', '4']
filename: frame000338_rgb.pngbbox0	sequence: big0 big1 small2	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.2754984611267229	area_occluded_relative_to_gtbox: 0.17598019536999865	high_attention_area_occluded_slc: 0.19789910343904724	quadrants: ['1', '2']
filename: frame000338_rgb.pngbbox0	sequence: big0 big1 small2	success: False	combination: big0 small2	high_attention_area_without_occlussion_slc: 0.2754984611267229	area_occluded_relative_to_gtbox: 0.20416164860163252	high_attention_area_occluded_slc: 0	quadrants: ['2']
filename: frame000338_rgb.pngbbox0	sequence: big0 big1 small2	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.2754984611267229	area_occluded_relative_to_gtbox: 0.24731700789508898	high_attention_area_occluded_slc: 0	quadrants: ['1', '2']
filename: frame000338_rgb.pngbbox0	sequence: big0 big1 small2	success: False	combination: big0 big1 small2	high_attention_area_without_occlussion_slc: 0.2754984611267229	area_occluded_relative_to_gtbox: 0.2754984611267229	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: big2	high_attention_area_without_occlussion_slc: 0.2770776380535812	area_occluded_relative_to_gtbox: 0.2246172772006561	high_attention_area_occluded_slc: 0	quadrants: ['1', '3']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.2770776380535812	area_occluded_relative_to_gtbox: 0.03936577364680153	high_attention_area_occluded_slc: 0.18690541279387643	quadrants: ['1', '2', '3', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.2770776380535812	area_occluded_relative_to_gtbox: 0.26398305084745766	high_attention_area_occluded_slc: 0	quadrants: ['3']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.2770776380535812	area_occluded_relative_to_gtbox: 0.013094587206123564	high_attention_area_occluded_slc: 0.2642700929469656	quadrants: ['1', '2', '3', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.2770776380535812	area_occluded_relative_to_gtbox: 0.23771186440677966	high_attention_area_occluded_slc: 0	quadrants: ['1', '3']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.2770776380535812	area_occluded_relative_to_gtbox: 0.05246036085292509	high_attention_area_occluded_slc: 0.14174412247129578	quadrants: ['1', '2', '3', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.2770776380535812	area_occluded_relative_to_gtbox: 0.2770776380535812	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000049_rgb.pngbbox1	sequence: big0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.5426922424036666	area_occluded_relative_to_gtbox: 0.4726701748429808	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000049_rgb.pngbbox1	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5426922424036666	area_occluded_relative_to_gtbox: 0.0700220675606858	high_attention_area_occluded_slc: 0.42106603293159056	quadrants: ['1', '2', '3', '4']
filename: frame000049_rgb.pngbbox1	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.5426922424036666	area_occluded_relative_to_gtbox: 0.5426922424036666	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000132_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.48577612863327146	area_occluded_relative_to_gtbox: 0.48577612863327146	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000210_rgb.pngbbox1	sequence: big0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.24785626786443446	area_occluded_relative_to_gtbox: 0.18135682202648312	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000210_rgb.pngbbox1	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.24785626786443446	area_occluded_relative_to_gtbox: 0.06649944583795135	high_attention_area_occluded_slc: 0.21991483404304965	quadrants: ['1', '3']
filename: frame000210_rgb.pngbbox1	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.24785626786443446	area_occluded_relative_to_gtbox: 0.2478562678644345	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000154_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6442722885445771	area_occluded_relative_to_gtbox: 0.6442722885445771	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000514_rgb.pngbbox0	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.29495468611847925	area_occluded_relative_to_gtbox: 0.2869556808134394	high_attention_area_occluded_slc: 0	quadrants: ['3']
filename: frame000514_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.29495468611847925	area_occluded_relative_to_gtbox: 0.007999005305039789	high_attention_area_occluded_slc: 0.24731984969053936	quadrants: ['1', '2', '3', '4']
filename: frame000514_rgb.pngbbox0	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.29495468611847925	area_occluded_relative_to_gtbox: 0.2949546861184792	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000263_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.38421828908554573	area_occluded_relative_to_gtbox: 0.38421828908554573	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000462_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.42910981514084506	area_occluded_relative_to_gtbox: 0.42910981514084506	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000234_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.388132559527038	area_occluded_relative_to_gtbox: 0.388132559527038	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000175_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.2858695652173913	area_occluded_relative_to_gtbox: 0.2858695652173913	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000349_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.2919071669071669	area_occluded_relative_to_gtbox: 0.05041486291486291	high_attention_area_occluded_slc: 0.27465127465127465	quadrants: ['1', '2', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.2919071669071669	area_occluded_relative_to_gtbox: 0.05447330447330447	high_attention_area_occluded_slc: 0.27998236331569665	quadrants: ['1', '2', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small1 small2	high_attention_area_without_occlussion_slc: 0.2919071669071669	area_occluded_relative_to_gtbox: 0.10488816738816739	high_attention_area_occluded_slc: 0.2974887766554433	quadrants: ['1', '2', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.2919071669071669	area_occluded_relative_to_gtbox: 0.18701899951899953	high_attention_area_occluded_slc: 0.1967893217893218	quadrants: ['1', '2']
filename: frame000349_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: big0 small2	high_attention_area_without_occlussion_slc: 0.2919071669071669	area_occluded_relative_to_gtbox: 0.23743386243386244	high_attention_area_occluded_slc: 0.11033950617283951	quadrants: ['2']
filename: frame000349_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0 small1	high_attention_area_without_occlussion_slc: 0.2919071669071669	area_occluded_relative_to_gtbox: 0.241492303992304	high_attention_area_occluded_slc: 0	quadrants: ['1', '2']
filename: frame000349_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0 small1 small2	high_attention_area_without_occlussion_slc: 0.2919071669071669	area_occluded_relative_to_gtbox: 0.2919071669071669	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000237_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.3740315779150731	area_occluded_relative_to_gtbox: 0.17806707855251544	high_attention_area_occluded_slc: 0.1455820339315485	quadrants: ['1', '2', '3', '4']
filename: frame000237_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.3740315779150731	area_occluded_relative_to_gtbox: 0.1959644993625576	high_attention_area_occluded_slc: 0	quadrants: ['1', '2', '3', '4']
filename: frame000237_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.3740315779150731	area_occluded_relative_to_gtbox: 0.374031577915073	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000194_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.75	area_occluded_relative_to_gtbox: 0.75	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000258_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4109700312085845	area_occluded_relative_to_gtbox: 0.4109700312085845	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000261_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5021904205607477	area_occluded_relative_to_gtbox: 0.5021904205607477	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000500_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.26058991683991684	area_occluded_relative_to_gtbox: 0.26058991683991684	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000201_rgb.pngbbox0	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.45824670824670827	area_occluded_relative_to_gtbox: 0.4176628551628552	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000201_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.45824670824670827	area_occluded_relative_to_gtbox: 0.04058385308385309	high_attention_area_occluded_slc: 0.42234060984060984	quadrants: ['1', '2', '3', '4']
filename: frame000201_rgb.pngbbox0	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.45824670824670827	area_occluded_relative_to_gtbox: 0.45824670824670827	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000319_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.0995194850996297	area_occluded_relative_to_gtbox: 0.0995194850996297	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000439_rgb.pngbbox0	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.2564430041936714	area_occluded_relative_to_gtbox: 0.20207777354174608	high_attention_area_occluded_slc: 0	quadrants: ['3', '4']
filename: frame000439_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.2564430041936714	area_occluded_relative_to_gtbox: 0.05436523065192528	high_attention_area_occluded_slc: 0.3038314906595501	quadrants: ['1', '2', '3', '4']
filename: frame000439_rgb.pngbbox0	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.2564430041936714	area_occluded_relative_to_gtbox: 0.2564430041936714	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000199_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6519718309859155	area_occluded_relative_to_gtbox: 0.6519718309859155	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000330_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.42162308630266904	area_occluded_relative_to_gtbox: 0.42162308630266904	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000327_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.40551026246156047	area_occluded_relative_to_gtbox: 0.40551026246156047	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000119_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7333739228175347	area_occluded_relative_to_gtbox: 0.7333739228175347	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000116_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5806652607361963	area_occluded_relative_to_gtbox: 0.5806652607361963	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000169_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.8857235984354629	area_occluded_relative_to_gtbox: 0.8857235984354629	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000344_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.3673373488829083	area_occluded_relative_to_gtbox: 0.1291597248921355	high_attention_area_occluded_slc: 0.18408518091332393	quadrants: ['1', '2', '3', '4']
filename: frame000344_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.3673373488829083	area_occluded_relative_to_gtbox: 0.23817762399077277	high_attention_area_occluded_slc: 0.03198556110897518	quadrants: ['1', '2']
filename: frame000344_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.3673373488829083	area_occluded_relative_to_gtbox: 0.36733734888290825	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000190_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5397180944055944	area_occluded_relative_to_gtbox: 0.5397180944055944	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000208_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.2789905130330662	area_occluded_relative_to_gtbox: 0.2789905130330662	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000150_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6253842213114754	area_occluded_relative_to_gtbox: 0.6253842213114754	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000115_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5629664669399769	area_occluded_relative_to_gtbox: 0.5629664669399769	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000147_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5844646516393442	area_occluded_relative_to_gtbox: 0.5844646516393442	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000184_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4065573770491803	area_occluded_relative_to_gtbox: 0.4065573770491803	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000427_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.45825075967763246	area_occluded_relative_to_gtbox: 0.45825075967763246	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000356_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.10613546274487275	area_occluded_relative_to_gtbox: 0.029624097585262636	high_attention_area_occluded_slc: 0.11684954328718332	quadrants: ['2', '3', '4']
filename: frame000356_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.10613546274487275	area_occluded_relative_to_gtbox: 0.029652821661783575	high_attention_area_occluded_slc: 0.1242603550295858	quadrants: ['1', '2', '3', '4']
filename: frame000356_rgb.pngbbox0	sequence: small0 small1 small2	success: False	combination: small1 small2	high_attention_area_without_occlussion_slc: 0.10613546274487275	area_occluded_relative_to_gtbox: 0.059276919247046214	high_attention_area_occluded_slc: 0	quadrants: ['3', '4']
filename: frame000356_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.10613546274487275	area_occluded_relative_to_gtbox: 0.046858543497826546	high_attention_area_occluded_slc: 0.16084525382508952	quadrants: ['1', '2']
filename: frame000356_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small2	high_attention_area_without_occlussion_slc: 0.10613546274487275	area_occluded_relative_to_gtbox: 0.07648264108308918	high_attention_area_occluded_slc: 0.0860381838723885	quadrants: ['2']
filename: frame000356_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.10613546274487275	area_occluded_relative_to_gtbox: 0.07651136515961013	high_attention_area_occluded_slc: 0.09782462993814749	quadrants: ['1', '2']
filename: frame000356_rgb.pngbbox0	sequence: small0 small1 small2	success: False	combination: small0 small1 small2	high_attention_area_without_occlussion_slc: 0.10613546274487275	area_occluded_relative_to_gtbox: 0.10613546274487276	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000243_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.2657740545252046	area_occluded_relative_to_gtbox: 0.11326328022856036	high_attention_area_occluded_slc: 0.16742530628056754	quadrants: ['1', '2', '3', '4']
filename: frame000243_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.2657740545252046	area_occluded_relative_to_gtbox: 0.15251077429664422	high_attention_area_occluded_slc: 0	quadrants: ['1', '2', '3', '4']
