filename: frame000230_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5032839290903807	area_occluded_relative_to_gtbox: 0.5032839290903807	high_attention_area_occluded_slc: 0.102324905550712	quadrants: []
filename: frame000348_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.1987012987012987	area_occluded_relative_to_gtbox: 0.06588332302618016	high_attention_area_occluded_slc: 0.23720882292310863	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.1987012987012987	area_occluded_relative_to_gtbox: 0.19870129870129868	high_attention_area_occluded_slc: 0.17670583384869099	quadrants: []
filename: frame000253_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.730502915451895	area_occluded_relative_to_gtbox: 0.730502915451895	high_attention_area_occluded_slc: 0.15998542274052477	quadrants: []
filename: frame000480_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.22914285714285715	area_occluded_relative_to_gtbox: 0.22914285714285715	high_attention_area_occluded_slc: 0.3379285714285714	quadrants: []
filename: frame000341_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.3304369894136414	area_occluded_relative_to_gtbox: 0.14761686083047323	high_attention_area_occluded_slc: 0.18361773094213757	quadrants: ['1', '2', '3', '4']
filename: frame000341_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.3304369894136414	area_occluded_relative_to_gtbox: 0.03185575482186881	high_attention_area_occluded_slc: 0.3167448155846667	quadrants: ['1', '2', '3', '4']
filename: frame000341_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.3304369894136414	area_occluded_relative_to_gtbox: 0.17947261565234204	high_attention_area_occluded_slc: 0.008761541064436603	quadrants: ['1', '2', '3', '4']
filename: frame000341_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.3304369894136414	area_occluded_relative_to_gtbox: 0.15096437376129937	high_attention_area_occluded_slc: 0.0997848890607628	quadrants: ['1', '2', '3']
filename: frame000341_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0 big2	high_attention_area_without_occlussion_slc: 0.3304369894136414	area_occluded_relative_to_gtbox: 0.2985812345917726	high_attention_area_occluded_slc: 0.04077439938125393	quadrants: ['1', '3']
filename: frame000341_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0 small1	high_attention_area_without_occlussion_slc: 0.3304369894136414	area_occluded_relative_to_gtbox: 0.18282012858316818	high_attention_area_occluded_slc: 0.16848745589017258	quadrants: ['1', '2']
filename: frame000341_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0 small1 big2	high_attention_area_without_occlussion_slc: 0.3304369894136414	area_occluded_relative_to_gtbox: 0.3304369894136414	high_attention_area_occluded_slc: 0.023045874220524967	quadrants: []
filename: frame000338_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.2552254783888666	area_occluded_relative_to_gtbox: 0.14253980998260404	high_attention_area_occluded_slc: 0.07628797002542487	quadrants: ['1', '3', '4']
filename: frame000338_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.2552254783888666	area_occluded_relative_to_gtbox: 0.008162719122173156	high_attention_area_occluded_slc: 0.2877425398099826	quadrants: ['1', '2', '3', '4']
filename: frame000338_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.2552254783888666	area_occluded_relative_to_gtbox: 0.1507025291047772	high_attention_area_occluded_slc: 0.37920513849859494	quadrants: ['3', '4']
filename: frame000338_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.2552254783888666	area_occluded_relative_to_gtbox: 0.1045229492840894	high_attention_area_occluded_slc: 0.31172219991971095	quadrants: ['1', '2', '3', '4']
filename: frame000338_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0 big2	high_attention_area_without_occlussion_slc: 0.2552254783888666	area_occluded_relative_to_gtbox: 0.24706275926669344	high_attention_area_occluded_slc: 0.20385387394620635	quadrants: ['1', '3']
filename: frame000338_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0 small1	high_attention_area_without_occlussion_slc: 0.2552254783888666	area_occluded_relative_to_gtbox: 0.11268566840626255	high_attention_area_occluded_slc: 0.21093269102100898	quadrants: ['1', '2', '3', '4']
filename: frame000338_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0 small1 big2	high_attention_area_without_occlussion_slc: 0.2552254783888666	area_occluded_relative_to_gtbox: 0.2552254783888666	high_attention_area_occluded_slc: 0.14188411615147867	quadrants: []
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.38992618917441224	area_occluded_relative_to_gtbox: 0.34255057408419903	high_attention_area_occluded_slc: 0.10004100601421542	quadrants: ['3', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.38992618917441224	area_occluded_relative_to_gtbox: 0.0245489338436304	high_attention_area_occluded_slc: 0.3041006014215418	quadrants: ['1', '2', '3', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.38992618917441224	area_occluded_relative_to_gtbox: 0.3670995079278294	high_attention_area_occluded_slc: 0.11738655002733735	quadrants: ['4']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.38992618917441224	area_occluded_relative_to_gtbox: 0.022826681246582832	high_attention_area_occluded_slc: 0.389119737561509	quadrants: ['1', '2', '3', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.38992618917441224	area_occluded_relative_to_gtbox: 0.36537725533078186	high_attention_area_occluded_slc: 0.015199562602515036	quadrants: ['3']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.38992618917441224	area_occluded_relative_to_gtbox: 0.047375615090213236	high_attention_area_occluded_slc: 0.3281301257517769	quadrants: ['1', '2', '3', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.38992618917441224	area_occluded_relative_to_gtbox: 0.38992618917441224	high_attention_area_occluded_slc: 0.01458447238928376	quadrants: []
filename: frame000049_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6113563062298422	area_occluded_relative_to_gtbox: 0.6113563062298422	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000132_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7978494623655914	area_occluded_relative_to_gtbox: 0.7978494623655914	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000166_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.9153640869233702	area_occluded_relative_to_gtbox: 0.9153640869233702	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000210_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.646094615878201	area_occluded_relative_to_gtbox: 0.646094615878201	high_attention_area_occluded_slc: 0.2512395730035583	quadrants: []
filename: frame000025_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.744423076923077	area_occluded_relative_to_gtbox: 0.744423076923077	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000088_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7624756335282651	area_occluded_relative_to_gtbox: 0.7624756335282651	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000062_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7266666666666667	area_occluded_relative_to_gtbox: 0.7266666666666667	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000092_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7804736024844721	area_occluded_relative_to_gtbox: 0.7804736024844721	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000154_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6652273304546609	area_occluded_relative_to_gtbox: 0.6652273304546609	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000514_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.510402851458886	area_occluded_relative_to_gtbox: 0.510402851458886	high_attention_area_occluded_slc: 0.07838748894783377	quadrants: []
filename: frame000263_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.6883321374471817	area_occluded_relative_to_gtbox: 0.6883321374471817	high_attention_area_occluded_slc: 0.07980546918600016	quadrants: []
filename: frame000045_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5772058823529411	area_occluded_relative_to_gtbox: 0.5772058823529411	high_attention_area_occluded_slc: 0.12893907563025211	quadrants: []
filename: frame000462_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.3040960607394366	area_occluded_relative_to_gtbox: 0.20517440580985916	high_attention_area_occluded_slc: 0.17849086707746478	quadrants: ['3', '4']
filename: frame000462_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.3040960607394366	area_occluded_relative_to_gtbox: 0.09892165492957747	high_attention_area_occluded_slc: 0.1064178036971831	quadrants: ['1', '2', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.3040960607394366	area_occluded_relative_to_gtbox: 0.3040960607394366	high_attention_area_occluded_slc: 0.038388534330985914	quadrants: []
filename: frame000034_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6963776963776964	area_occluded_relative_to_gtbox: 0.6963776963776964	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000234_rgb.pngbbox1	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.6070944296794489	area_occluded_relative_to_gtbox: 0.6070944296794489	high_attention_area_occluded_slc: 0.13296631773065032	quadrants: []
filename: frame000175_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.660559305689489	area_occluded_relative_to_gtbox: 0.660559305689489	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000038_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4582664526484751	area_occluded_relative_to_gtbox: 0.4582664526484751	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000349_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.17910253326919995	area_occluded_relative_to_gtbox: 0.11686307519640853	high_attention_area_occluded_slc: 0.023809523809523808	quadrants: ['4']
filename: frame000349_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.17910253326919995	area_occluded_relative_to_gtbox: 0.06223945807279141	high_attention_area_occluded_slc: 0.16693722943722944	quadrants: ['1', '2', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.17910253326919995	area_occluded_relative_to_gtbox: 0.17910253326919995	high_attention_area_occluded_slc: 0.2480759980759981	quadrants: []
filename: frame000505_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.39248895434462444	area_occluded_relative_to_gtbox: 0.33110783832433316	high_attention_area_occluded_slc: 0.16059564719358535	quadrants: ['2', '4']
filename: frame000505_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.39248895434462444	area_occluded_relative_to_gtbox: 0.061381116020291275	high_attention_area_occluded_slc: 0.4468008509245623	quadrants: ['1', '2', '3', '4']
filename: frame000505_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.39248895434462444	area_occluded_relative_to_gtbox: 0.39248895434462444	high_attention_area_occluded_slc: 0.08532155130093275	quadrants: []
filename: frame000504_rgb.pngbbox0	sequence: small0 big1 big2	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.41495194019223924	area_occluded_relative_to_gtbox: 0.3357600569597722	high_attention_area_occluded_slc: 0.09763260946956212	quadrants: ['2', '3', '4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1 big2	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.41495194019223924	area_occluded_relative_to_gtbox: 0.07123531505873977	high_attention_area_occluded_slc: 0.3300818796724813	quadrants: ['1', '2', '3', '4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1 big2	success: True	combination: big1 big2	high_attention_area_without_occlussion_slc: 0.41495194019223924	area_occluded_relative_to_gtbox: 0.40699537201851194	high_attention_area_occluded_slc: 0.10039159843360626	quadrants: ['3', '4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1 big2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.41495194019223924	area_occluded_relative_to_gtbox: 0.007956568173727306	high_attention_area_occluded_slc: 0.45533997864008546	quadrants: ['1', '2', '3', '4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1 big2	success: True	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.41495194019223924	area_occluded_relative_to_gtbox: 0.3437166251334995	high_attention_area_occluded_slc: 0.18634745461018157	quadrants: ['2', '4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1 big2	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.41495194019223924	area_occluded_relative_to_gtbox: 0.07919188323246708	high_attention_area_occluded_slc: 0.32155571377714487	quadrants: ['1', '2', '3', '4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1 big2	success: True	combination: small0 big1 big2	high_attention_area_without_occlussion_slc: 0.41495194019223924	area_occluded_relative_to_gtbox: 0.41495194019223924	high_attention_area_occluded_slc: 0.2339444642221431	quadrants: []
filename: frame000237_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.39710208884966164	area_occluded_relative_to_gtbox: 0.35968912425223104	high_attention_area_occluded_slc: 0.22705207413945278	quadrants: ['1', '3']
filename: frame000237_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.39710208884966164	area_occluded_relative_to_gtbox: 0.03741296459743062	high_attention_area_occluded_slc: 0.3906050799254683	quadrants: ['1', '2', '3', '4']
filename: frame000237_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.39710208884966164	area_occluded_relative_to_gtbox: 0.39710208884966164	high_attention_area_occluded_slc: 0.1431548494655291	quadrants: []
filename: frame000194_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7663368377654092	area_occluded_relative_to_gtbox: 0.7663368377654092	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000035_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6649071714597743	area_occluded_relative_to_gtbox: 0.6649071714597743	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000258_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.7434697105724424	area_occluded_relative_to_gtbox: 0.7434697105724424	high_attention_area_occluded_slc: 0.14101577529819162	quadrants: []
filename: frame000473_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.29944620253164556	area_occluded_relative_to_gtbox: 0.21859177215189873	high_attention_area_occluded_slc: 0.1358386075949367	quadrants: ['3']
filename: frame000473_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.29944620253164556	area_occluded_relative_to_gtbox: 0.08085443037974684	high_attention_area_occluded_slc: 0.12699762658227848	quadrants: ['1', '2', '3', '4']
filename: frame000473_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.29944620253164556	area_occluded_relative_to_gtbox: 0.29944620253164556	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000261_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.7210447263017357	area_occluded_relative_to_gtbox: 0.7210447263017357	high_attention_area_occluded_slc: 0.36742740320427236	quadrants: []
filename: frame000500_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.23429920304920304	area_occluded_relative_to_gtbox: 0.23429920304920304	high_attention_area_occluded_slc: 0.31483887733887733	quadrants: []
filename: frame000201_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5551801801801802	area_occluded_relative_to_gtbox: 0.5551801801801802	high_attention_area_occluded_slc: 0.48995148995148996	quadrants: []
filename: frame000089_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7410982008995503	area_occluded_relative_to_gtbox: 0.7410982008995503	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000319_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.4069828954329042	area_occluded_relative_to_gtbox: 0.04337859284076882	high_attention_area_occluded_slc: 0.5481616998765649	quadrants: ['1', '2', '3', '4']
filename: frame000319_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.4069828954329042	area_occluded_relative_to_gtbox: 0.3155528125551049	high_attention_area_occluded_slc: 0.11772615059072473	quadrants: ['1', '3']
filename: frame000319_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: big1 small2	high_attention_area_without_occlussion_slc: 0.4069828954329042	area_occluded_relative_to_gtbox: 0.35893140539587376	high_attention_area_occluded_slc: 0.14188414741668137	quadrants: ['1', '3']
filename: frame000319_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.4069828954329042	area_occluded_relative_to_gtbox: 0.048051490037030506	high_attention_area_occluded_slc: 0.5320931052724387	quadrants: ['1', '2', '3', '4']
filename: frame000319_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small0 small2	high_attention_area_without_occlussion_slc: 0.4069828954329042	area_occluded_relative_to_gtbox: 0.09143008287779933	high_attention_area_occluded_slc: 0.5272438723329219	quadrants: ['1', '2', '3', '4']
filename: frame000319_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.4069828954329042	area_occluded_relative_to_gtbox: 0.36360430259213544	high_attention_area_occluded_slc: 0.302768471169106	quadrants: ['1']
filename: frame000319_rgb.pngbbox0	sequence: small0 big1 small2	success: True	combination: small0 big1 small2	high_attention_area_without_occlussion_slc: 0.4069828954329042	area_occluded_relative_to_gtbox: 0.4069828954329043	high_attention_area_occluded_slc: 0.3347293246341033	quadrants: []
filename: frame000439_rgb.pngbbox0	sequence: small0 small1	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.07142584826534502	area_occluded_relative_to_gtbox: 0.017499046892870757	high_attention_area_occluded_slc: 0.038791460160122	quadrants: ['1', '3']
filename: frame000439_rgb.pngbbox0	sequence: small0 small1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.07142584826534502	area_occluded_relative_to_gtbox: 0.05392680137247426	high_attention_area_occluded_slc: 0.12005337399923752	quadrants: ['1', '2']
filename: frame000439_rgb.pngbbox0	sequence: small0 small1	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.07142584826534502	area_occluded_relative_to_gtbox: 0.07142584826534502	high_attention_area_occluded_slc: 0.18572245520396494	quadrants: []
filename: frame000199_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.7876525821596244	area_occluded_relative_to_gtbox: 0.7876525821596244	high_attention_area_occluded_slc: 0.686150234741784	quadrants: []
filename: frame000330_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.506299959355101	area_occluded_relative_to_gtbox: 0.506299959355101	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000327_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5279804047772295	area_occluded_relative_to_gtbox: 0.5279804047772295	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000205_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5688636363636363	area_occluded_relative_to_gtbox: 0.5688636363636363	high_attention_area_occluded_slc: 0.07556818181818181	quadrants: []
filename: frame000119_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 1.0202303143479614	area_occluded_relative_to_gtbox: 1.0202303143479614	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000116_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.4854294478527607	area_occluded_relative_to_gtbox: 0.4854294478527607	high_attention_area_occluded_slc: 0.19353911042944785	quadrants: []
filename: frame000169_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.9657757496740548	area_occluded_relative_to_gtbox: 0.9657757496740548	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000478_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5764166171098463	area_occluded_relative_to_gtbox: 0.5764166171098463	high_attention_area_occluded_slc: 0.20070512275932376	quadrants: []
filename: frame000344_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.3577363407236533	area_occluded_relative_to_gtbox: 0.16864240249476697	high_attention_area_occluded_slc: 0.028760305865265495	quadrants: ['1', '2', '3', '4']
filename: frame000344_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.3577363407236533	area_occluded_relative_to_gtbox: 0.01612627621854842	high_attention_area_occluded_slc: 0.306879832543039	quadrants: ['1', '2', '3', '4']
filename: frame000344_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.3577363407236533	area_occluded_relative_to_gtbox: 0.1847686787133154	high_attention_area_occluded_slc: 0.10122175231748473	quadrants: ['1', '2', '3', '4']
filename: frame000344_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.3577363407236533	area_occluded_relative_to_gtbox: 0.1729676620103379	high_attention_area_occluded_slc: 0.05262933059934213	quadrants: ['1', '2', '3', '4']
filename: frame000344_rgb.pngbbox0	sequence: big0 small1 big2	success: False	combination: big0 big2	high_attention_area_without_occlussion_slc: 0.3577363407236533	area_occluded_relative_to_gtbox: 0.3416100645051049	high_attention_area_occluded_slc: 0	quadrants: ['1', '3']
filename: frame000344_rgb.pngbbox0	sequence: big0 small1 big2	success: True	combination: big0 small1	high_attention_area_without_occlussion_slc: 0.3577363407236533	area_occluded_relative_to_gtbox: 0.18909393822888632	high_attention_area_occluded_slc: 0.02276902046221539	quadrants: ['1', '2', '3', '4']
filename: frame000344_rgb.pngbbox0	sequence: big0 small1 big2	success: False	combination: big0 small1 big2	high_attention_area_without_occlussion_slc: 0.3577363407236533	area_occluded_relative_to_gtbox: 0.3577363407236533	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000190_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.8890406468531469	area_occluded_relative_to_gtbox: 0.8890406468531469	high_attention_area_occluded_slc: 0.3538570804195804	quadrants: []
filename: frame000208_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5029039463886821	area_occluded_relative_to_gtbox: 0.5029039463886821	high_attention_area_occluded_slc: 0.02889054355919583	quadrants: []
filename: frame000150_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.9370517418032787	area_occluded_relative_to_gtbox: 0.9370517418032787	high_attention_area_occluded_slc: 0	quadrants: []
